# ACT PA3 90 GHz Bandpass Data — from Rahul Datta (average over 17 individual detector bandpasses measured for PA3 90 GHz)
# Truncated by JCH using criteria in 'passbands' notebook 1/27/19
#col0: frequency [GHz]
#col1: 90 GHz response
#col2: 1-sigma error
#nu(GHz)       fnu	fnu_err
1.169899999999999949e+02 3.727199999999999958e-02 1.939600000000000005e-02
1.174899999999999949e+02 2.927599999999999994e-02 1.487400000000000007e-02
1.179899999999999949e+02 2.131200000000000108e-02 1.438200000000000069e-02
1.184899999999999949e+02 2.777599999999999861e-02 1.487899999999999986e-02
1.189899999999999949e+02 1.946700000000000166e-02 1.583400000000000085e-02
1.194899999999999949e+02 1.237599999999999985e-02 2.168199999999999988e-02
1.199899999999999949e+02 2.499399999999999886e-02 2.302099999999999980e-02
1.204899999999999949e+02 1.679399999999999990e-02 2.359899999999999845e-02
1.209899999999999949e+02 1.718499999999999889e-02 1.362799999999999949e-02
1.214899999999999949e+02 1.812000000000000069e-02 1.146600000000000050e-02
1.219899999999999949e+02 1.959800000000000084e-02 1.333299999999999937e-02
1.224899999999999949e+02 2.020599999999999827e-02 1.463899999999999924e-02
1.229899999999999949e+02 1.117399999999999990e-02 1.831999999999999948e-02
1.234899999999999949e+02 4.403400000000000022e-03 1.402499999999999927e-02
1.239899999999999949e+02 8.058299999999999144e-03 1.583999999999999991e-02
1.244899999999999949e+02 9.876100000000000503e-03 1.465100000000000083e-02
